ingresos_mensuales,minutos_mensuales,cargo_recurrente,llamadas_asistidas_director,minutos_excedentes,llamadas_roaming,cambio_perc_minutos,cambio_perc_ingresos,llamadas_caidas,llamadas_bloqueadas,llamadas_no_contestadas,llamadas_atencion_cliente,llamadas_tripartitas,llamadas_recibidas,llamadas_salientes,llamadas_entrantes,llamadas_pico_ent_sal,llamadas_no_pico_ent_sal,llamadas_caidas_bloqueadas,llamadas_desviadas,llamadas_en_espera,meses_en_servicio,suscripciones_unicas,suscripciones_activas,equipos_totales,modelos_equipos,dias_equipo_actual,edad_hogar_1,edad_hogar_2,llamadas_retencion,ofertas_retencion_aceptadas,referidos_realizados,grupo_ingresos,ajustes_calificacion_credito,ingreso_diario,ratio_uso,costo_por_minuto,ocupacion,calificacion_crediticia,estado_civil,area_servicio,churn_bin
24.0,219,22.0,0.25,0,0,-157.0,-19.0,0.7000000000000001,0.7000000000000001,6.3,0,0.0,97.2,0.0,0.0,58.0,24.0,1.3,0.0,0.30000000000000004,61,2,1,2,2.0,361,62.0,0.0,1,0,0,4,0,0.8,0.0,0.1095890410958904,Professional,1-Highest,No,SEAPOR503,1
16.99,10,17.0,0.0,0,0,-4.0,0.0,0.30000000000000004,0.0,2.7,0,0.0,0.0,0.0,0.0,5.0,1.0,0.30000000000000004,0.0,0.0,58,1,1,2,1.0,1504,40.0,42.0,0,0,0,5,0,0.5663333333333332,0.0,1.6989999999999998,Professional,4-Medium,Yes,PITHOM412,1
38.0,8,38.0,0.0,0,0,-2.0,0.0,0.0,0.0,0.0,0,0.0,0.4,0.30000000000000004,0.0,1.3,3.7,0.0,0.0,0.0,60,1,1,1,1.0,1812,26.0,26.0,0,0,0,6,0,1.2666666666666666,0.0,4.75,Crafts,3-Good,Yes,MILMIL414,0
82.28,1312,75.0,1.24,0,0,157.0,8.1,52.0,7.7,76.0,4,1.3,200.3,370.3,147.0,555.7,303.7,59.7,0.0,22.7,59,2,2,9,4.0,458,30.0,0.0,0,0,0,6,0,2.7426666666666666,0.0,0.06271341463414634,Other,4-Medium,No,PITHOM412,0
17.14,0,17.0,0.0,0,0,0.0,-0.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,2,2,4,3.0,852,46.0,54.0,0,0,0,9,1,0.5713333333333334,0.0,0.0,Professional,1-Highest,Yes,OKCTUL918,1
38.05,682,52.0,0.25,0,0,148.0,-3.1,9.0,1.7000000000000002,13.0,1,0.0,42.2,6.7,0.0,33.3,53.0,10.7,0.0,0.7000000000000001,53,1,1,3,2.0,231,28.0,0.0,0,0,0,1,1,1.2683333333333333,0.0,0.05579178885630498,Other,3-Good,Yes,OKCTUL918,0
31.66,26,30.0,0.25,0,0,60.0,4.0,0.0,1.0,2.3,0,0.0,0.0,0.0,0.0,1.7000000000000002,1.7000000000000002,1.0,0.0,0.0,57,2,2,2,2.0,601,52.0,58.0,0,0,0,9,1,1.0553333333333332,0.0,1.2176923076923076,Self,1-Highest,Yes,OKCTUL918,0
62.13,98,66.0,2.48,0,0,24.0,6.8,0.0,0.30000000000000004,4.0,4,0.0,0.0,3.7,0.0,7.7,7.3,0.30000000000000004,0.0,0.0,59,2,2,3,3.0,464,46.0,46.0,0,0,0,6,0,2.071,0.0,0.6339795918367347,Professional,1-Highest,No,OKCOKC405,0
35.3,24,35.0,0.0,0,0,20.0,-0.30000000000000004,0.0,0.0,1.0,0,0.0,2.4,4.0,1.7000000000000002,9.3,1.7000000000000002,0.0,0.0,0.0,53,3,3,4,3.0,544,36.0,34.0,0,0,0,9,0,1.1766666666666665,0.0,1.4708333333333332,Other,1-Highest,Yes,SANMCA210,0
81.0,1056,75.0,0.0,0,0,43.0,2.4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,1,1,9,5.0,388,46.0,68.0,0,0,0,5,1,2.7,0.0,0.07670454545454546,Professional,3-Good,No,PITHOM412,0
